,title,hits,hits_grade
4915,党委学生工作部联合马克思主义学院举办“纪念改革开放40周年 昂首阔步迈入新时代”主题演讲比赛,611,50.916666666666664
4916,台湾辅仁大学代表团来校访问交流,386,32.166666666666664
4917,第十五届数字图书馆前沿问题高级研讨班（ADLS2018）在重庆大学召开,1560,100.0
4918,“一带一路”上的骑行客——无字书屋讲座第10期“骑车去埃及”举办,812,67.66666666666667
4919,第四届“重庆大学新生十佳班级”复赛评审,491,40.916666666666664
4920,重庆市国际标准舞全国公开赛落幕,313,26.083333333333332
4921,感法律之形，听正义之声,119,9.916666666666666
4922,重庆大学两个项目在重庆市“五小”创新晒中跻身前十强,464,38.666666666666664
4923,章林伟教授至重庆大学城市建设与环境工程学院作专题讲座,597,49.75
4924,我校城环学院师生赴新西兰参加第八届住宅能源与环境国际会议（ICEERB2018）,303,25.25
4925,光电本科二支部成功开展“弘扬爱国奋斗精神、建功立业新时代”主题党日活动,529,44.083333333333336
4926,树立党员榜样 搭建沟通桥梁,278,23.166666666666668
4927,民进重大总支、民进川外支部举行联谊活动,305,25.416666666666668
4928,重庆大学乒乓球队荣获2018年重庆市大学生乒乓球比赛团体总分冠军,1399,100.0
4929,新闻学院董天策院长参加中国新闻学百年暨中国社会科学院新闻与传播研究所成立四十周年学术研讨会,224,18.666666666666668
4930,张宗益校长出席卓越大学联盟校长联席会暨中英大学工程教育与研究联盟校长论坛,1368,100.0
4931,重庆大学—辛辛那提大学联合学院学生代表参加第四届国际学生领袖交流营,414,34.5
4932,学校召开校史编写组工作会议,284,23.666666666666668
4933,弘扬志愿精神，深化实践育人——药学院组织全体教工开展政治理论学习,499,41.583333333333336
4934,“乐跑青春，药享健康”,334,27.833333333333332
4935,重庆大学化学化工学院2018年秋季花样运动会,237,19.75
4936,国家自然科学基金委人事局局长周延泽一行来校调研,1393,100.0
4937,重庆大学举行2018-2019学年精进助学证书颁授仪式,244,20.333333333333332
4938,重庆大学学生科幻协会荣获第二十九届银河奖“最佳社团”奖,877,73.08333333333333
4939,“重庆大学第五届科普能力竞赛之科普知识竞赛”决赛落幕,618,51.5
4940,卓越大学联盟第九次校长联席会暨中英大学工程教育与研究联盟校长论坛在东南大学举行,292,24.333333333333332
4941,重庆大学90周年校庆年活动—东盟和中国大使系列演讲在我校举行,2346,100.0
4942,新闻学院张小强教授参加“2018年中国科技传播论坛暨中国科技新闻学会第十四次学术年会”,359,29.916666666666668
4943,重庆大学举办“研知有理”第六届研究生综合知识竞赛,193,16.083333333333332
4944,重庆大学第二届研究生乒乓球联赛顺利举办,146,12.166666666666666
4945,工程热物理学科“十四五”战略研讨会在重庆举行,652,54.333333333333336
4946,辩山河万事，论古今妙理,499,41.583333333333336
4947,库区地灾中心组团参加第十五次中国岩石力学与工程学术年会,166,13.833333333333334
4948,重庆大学“最美慕课”在中国教育电视台首轮展播,1401,100.0
4949,重庆大学学生在首届“能源•智慧•未来”全国大学生创新创业大赛中喜获佳绩,259,21.583333333333332
4950,学习三大教育大会精神， 做好新时代教育工作,358,29.833333333333332
4951,艺术学院工业设计系赴产业技术研究院参观考察,552,46.0
4952,离退休工作处举办消防安全教育讲座,194,16.166666666666668
4953,重庆大学物理学院与中国科学院物理研究所签署合作备忘录,434,36.166666666666664
4954,党委常委会召开2018年第35次会议,1778,100.0
4955,重庆大学指导雏鹰计划项目喜获佳绩,1742,100.0
4956,北京理工大学教授做客工程科学前沿讲坛杰青系列讲座,359,29.916666666666668
4957,产业党委举办第一届产业“创新杯”篮球投篮大赛活动,936,78.0
4958,资环学院组织向“时代楷模”杨雪峰同志学习活动,867,72.25
4959,资环学院组织深入学习黄群、宋月才、姜开斌和王继才同志先进事迹,164,13.666666666666666
4960,我校留学生在“立格联盟”第一届校园影视文化节中喜获佳绩,346,28.833333333333332
4961,重庆大学实验教学改革项目建设经验交流会顺利召开,508,42.333333333333336
4962,重庆大学在首届“能源•智慧•未来”全国大学生创新创业大赛中荣获一等奖,296,24.666666666666668
4963,资环学院组织开展全国教育大会宣讲,145,12.083333333333334
4964,离退休党委行政党支部组织开展礼仪培训学习,217,18.083333333333332
4965,资环学院召开落实重庆大学党委第一巡察组专项巡察资源及环境科学学院党委反馈意见整改工作动员会,362,30.166666666666668
4966,资环学院组织学习“建设中国特色重大风格的一流本科教育体系——重庆大学本科教育2029行动计划”,1152,96.0
4967,新闻学院举行2018年国家社科基金立项项目开题报告会,1060,88.33333333333333
4968,新闻学院名誉院长马胜荣出席2018澜湄合作滇池论坛,168,14.0
4969,苟中华博士至重庆大学建筑城规学院专题讲座成功举办,430,35.833333333333336
4970,力挫强敌，勇夺金杯——建筑城规学院问鼎2018重庆大学研究生足球联赛,258,21.5
4971,重庆大学校领导出席第五届中日教育交流会,1492,100.0
4972,党委统战部支部开展 “弘扬爱国奋斗精神、建功立业新时代”主题党日活动,230,19.166666666666668
4973,重庆大学人文社会科学高等研究院&博雅学院举办第二届青年教师教学基本功比赛,351,29.25
4974,建管学院博士生学术沙龙第九期论坛开展,372,31.0
4975,重庆大学学生在2018 ICBC-IBM 全国大学生金融科技创新大赛总决赛获二等奖,393,32.75
4976,聆听廉政讲座 筑牢拒腐防线,129,10.75
4977,主动检测 知艾防艾 共享健康——重庆大学开展2018年预防艾滋病主题教育活动,1171,97.58333333333333
4978,重庆大学优异生2018年暑期交流项目英国学习营举行分享汇报会,1415,100.0
4979,“胸怀祖国，放眼全球”——学生职业发展与就业指导中心举行“世界名校高层次学历学生选拔培养机制”主题讲座,376,31.333333333333332
4980,学校党委召开第二轮巡察情况反馈会,1383,100.0
4981,建设管理与房地产学院第二期菁英讲堂顺利举行,141,11.75
4982,重庆大学举办2018年消防嘉年华活动,1378,100.0
4983,建管学院“工程管理”前沿论坛成功开展,474,39.5
4984,基建规划处赴四川大学、重庆医科大学调研实验动物中心建设,704,58.666666666666664
4985,重庆大学艾滋病防控主题知识竞赛决赛顺利举办,215,17.916666666666668
4986,教育部科技发展中心来我校图书馆调研交流,330,27.5
4987,环喜马拉雅山地资源、环境与灾害国际研讨会在重庆大学召开,295,24.583333333333332
4988,暨南大学刘涛教授谈“新媒体文化与空间认识论”,218,18.166666666666668
4989,住建部住房公积金监管司 重庆市住房公积金管理中心来我校调研青年群体住房问题,1466,100.0
